,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,Weight,"203,6150217","121,0212568","102,7978818","96,83082284","85,13373768","82,76380819","79,83500014","77,66641961","74,60701813","73,10941039","69,09655995","68,13658784","66,48030495","64,51308808","63,56943648"
Movie ID,Title,,,,,,,,,,,,,,,
11,Star Wars: Episode IV - A New Hope (1977),"-0,1066513318","-0,09440147581","0,1999490473","0,0251957152","-0,06443707699","0,2762594739","-0,2069279354","0,0540925666","-0,02595026163","-0,0889642902","-0,1171636414","0,1044739185","0,04953196727","0,1406393736","-0,03120588113"
12,Finding Nemo (2003),"-0,02398038348","-0,02696003931","-0,0380673771","0,2482958922","-0,1188944568","-0,06809207431","0,06411689652","0,03739042389","-0,08245726794","0,03784080411","-0,06760334824","-0,01725187415","-0,06922322624","0,06310704183","0,1599129274"
13,Forrest Gump (1994),"-0,1570417878","-0,03988880063","-0,2244001612","0,06245241272","0,09802639516","0,07825470773","-0,04710396631","0,1477428409","-0,1005400728","-0,01872680697","0,07623125325","0,01612919245","-0,04050700272","-0,2750253009","-0,0525635893"
14,American Beauty (1999),"-0,04446806502","0,1987151963","-0,006576751238","0,008759605586","0,05609292149","-0,02037035248","-0,04614999113","0,007244091974","0,008791457985","-0,06756193827","0,06337534287","-0,1775466563","-0,1005307766","0,06835285683","-0,08543678455"
22,Pirates of the Caribbean: The Curse of the Black Pearl (2003),"0,03625580034","-0,1324213362","0,03641024621","0,007510240597","-0,01065724957","-0,06537230361","0,0927681641","0,003815525987","-0,08189999454","0,08395820895","0,1677398393","-0,09534037157","0,1752846197","0,1065420904","-0,2875395999"
24,Kill Bill: Vol. 1 (2003),"-0,04520305674","0,1815695099","0,2057047009","-0,1713936755","-0,005188634292","-0,1150072863","0,1805894471","0,5253965125","0,03198693244","0,04783368733","-0,1381150654","0,03269170828","0,08886234515","-0,0480180741","0,1300200875"
38,Eternal Sunshine of the Spotless Mind (2004),"-0,04874345685","0,1610584469","0,01416780226","0,02486905174","0,04706100353","-0,04045024975","-0,02091103062","-0,1090946193","0,02781212125","-0,0554629918","0,05924212251","-0,1262223738","-0,02227953628","0,05965409533","0,02978260752"
63,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"-0,04314299138","0,1264018361","0,07489161245","-0,04152884806","-0,0107702963","-0,008083497586","-0,02930408488","-0,1048128782","0,008549781629","-0,004802919774","0,09414862325","-0,06532201298","0,03557866332","-0,028568499","0,05418326589"
77,Memento (2000),"-0,1011768379","0,1333220328","-0,01202240606","-0,02417991515","-0,03262347463","-0,0714588032","-6,46E-05","-0,1273804232","-0,02334627724","-0,07750559205","0,02981785699","-0,05209178716","-0,003957444225","0,06391698476","0,06337167777"
85,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"-0,08702023259","0,001920758768","0,04824577904","0,04314757524","-0,1368029397","0,1308776253","-0,06787138279","0,03469038241","0,1665824242","0,04709504485","0,0527921143","0,09509343118","-0,1072385984","-0,04979878206","-0,02479430045"
98,Gladiator (2000),"-0,09564904447","-0,1185474418","-0,1915018058","-0,06717372669","0,01396768906","0,000774739131","0,04153274064","0,009761477471","-0,01549499907","0,06409671405","-0,09951544635","0,01713926744","0,09026535797","-0,04209409763","-0,02201984431"
105,Back to the Future (1985),"-0,07762541017","-0,003591110405","0,01083043199","0,01718944188","-0,1761680739","0,1839518065","-0,0609351887","0,04772603107","0,1371228955","0,04637564369","0,1492277767","0,002038226638","-0,07140039823","-0,09429923373","0,01480293544"
107,Snatch (2000),"-0,05014232715","0,1387295412","0,04076196734","-0,03631250128","0,01714884118","0,01938454491","0,01167080446","-0,0702202077","-0,04390929527","0,04972650498","0,0422803263","0,02846592132","0,09697139459","-0,006541090768","-0,05536938625"
114,Pretty Woman (1990),"0,116240609","0,02961321252","-0,1416552826","0,07387115889","0,1087466297","-0,01243500329","-0,1144881479","0,1456902785","0,1027893294","0,04430037357","0,007442367894","-0,06308205464","0,06385971148","0,08248686869","-0,02037009013"
120,The Lord of the Rings: The Fellowship of the Ring (2001),"-0,1574978039","-0,2281673314","0,2279157708","0,03821438119","0,2901800531","-0,03896280736","0,1269017398","-0,08529870256","0,1672851369","0,1577146575","-0,02691269156","-0,06002219977","-0,1053616497","-0,02091222385","-0,03465177291"
121,The Lord of the Rings: The Two Towers (2002),"-0,1413326412","-0,2284284163","0,2265292468","0,03585278013","0,2981401431","-0,04119574902","0,1214251341","-0,0804611817","0,137021532","0,157700833","-0,03905502591","-0,07555587159","-0,07298559868","-0,04118779909","-0,03673981842"
